"","89_MattDonor_MUT_F_Col_S268","90_MattDonor_WT_M_Col_S269","91_MattDonor_WT_F_Col_S270","92_MattDonor_WT_M___S271","93_MattDonor_MUT_M_Cec_S272","94_MattDonor_MUT_F_Cec_S273"
"Eubacterium_F sp910589595",0,11,0,17,0,14
"Acetatifactor sp910584435",0,29,52,37,0,15
"Butyribacter sp003611745",0,10,0,15,0,15
"MGYG000410930",0,0,0,13,0,0
"MGYG000410149",0,25,15,22,0,14
"MGYG000328377",0,15,40,66,19,52
"MGYG000324606",0,25,12,37,0,27
"Dorea_A longicatena",0,0,0,0,0,0
"MGYG000323390",0,0,0,22,0,18
"CALWPV01 sp022794035",44,110,45,211,0,111
"Dysosmobacter sp900763685",0,26,0,61,0,57
"Evtepia sp004556345",0,33,0,17,0,22
"Evtepia gabavorous",0,19,10,25,0,15
"MGYG000387732",55,140,102,80,0,192
"Avoscillospira_A sp022795735",0,40,12,57,0,61
"Eubacterium_R sp009774735",14,29,18,14,0,20
"MGYG000325665",21,57,11,27,0,28
"Eubacterium_R sp910584985",0,22,0,0,0,19
"MGYG000325508",0,19,0,0,0,0
"Eubacterium_R sp910577215",0,23,0,16,0,15
"MGYG000325451",0,22,0,10,0,11
"MGYG000403628",0,0,0,0,0,18
"MGYG000327108",0,15,0,18,0,12
"Bittarella massiliensis",0,0,0,0,0,0
"MGYG000327115",0,0,0,0,0,0
"MGYG000331430",0,0,0,0,0,0
"MGYG000358052",0,37,0,260,42,76
"MGYG000325728",0,0,0,0,0,0
"Brachyspira sp910588665",0,0,0,0,0,0
"MGYG000410730",0,0,0,0,0,0
"MGYG000325324",0,0,0,18,48,0
"Sediminibacterium magnilacihabitans",0,0,0,0,0,0
"MGYG000325708",0,19,0,95,23,27
"MGYG000383351",0,11,0,14,0,0
"MGYG000328450",0,0,0,0,0,0
"MGYG000410978",0,11,10,10,0,0
"MGYG000325740",0,0,0,26,0,16
"MGYG000329907",0,0,0,0,0,0
"CAG-303 sp910585215",15,23,46,23,0,20
"Agathobacter rectalis",0,0,0,13,0,13
"MGBC114844 sp910585855",0,15,0,0,0,18
"Oliverpabstia sp002361775",0,0,0,0,0,0
"Dorea_A longicatena_B",0,0,0,0,0,0
"MGYG000324871",0,0,0,0,0,0
"JAAVZI01 sp022791575",0,14,0,15,0,12
"MGYG000330606",0,0,0,0,0,0
"MGYG000411499",0,10,0,0,0,0
"CAJFUH01 sp022799115",0,28,10,66,11,39
"QAKD01 sp022793975",86,251,66,201,0,304
"MGYG000378024",0,0,30,0,0,26
"MGBC157735 sp910587445",45,205,21,2271,965,311
"Reyranella aquatilis",0,0,0,0,0,0
"MGYG000339341",0,0,0,0,0,0
"Heteroclostridium sp910585195",0,57,0,554,113,0
"Collinsella bouchesdurhonensis",0,0,0,0,0,0
"Desulfovibrio sp900319575",0,0,0,0,0,0
"MGYG000325614",0,0,0,0,0,0
"Dielma fastidiosa",0,0,0,0,0,0
"UBA1067 sp902788415",0,0,0,0,0,0
"UBA3282 sp910578555",0,0,0,14,0,21
"Oliverpabstia intestinalis",0,0,0,0,0,0
"MGYG000330584",0,57,12,98,13,68
"MGYG000410602",0,0,0,0,0,0
"Howiella sp022791355",0,15,0,0,0,0
"QXXE01 sp910589115",71,91,52,48,27,124
"Anaerocaecibacter sp910587805",75,229,218,2586,11952,318
"Ventricola sp900542395",0,0,0,0,0,0
"MGYG000330825",23,76,156,97,10,78
"MGYG000376566",31,256,87,182,17,99
"Methylovirgula sp021780015",0,0,0,0,0,0
"CAG-267 sp910576955",17,29,30,54,42,15
"MGYG000335208",33,60,41,15,13,52
"MGYG000326756",0,13,0,0,0,0
"Longicatena caecimuris",0,16,17,0,677,13
"MGYG000325635",0,0,0,0,0,0
"MGYG000324718",0,33,0,51,12,13
"Lacrimispora indica",0,0,0,0,0,0
"MGYG000326954",0,0,0,0,10,0
"RACS-045 sp910588015",11,81,20,505,217,75
"MGYG000325793",0,0,0,55,39,0
"Coproplasma sp910578655",0,16,0,148,22,59
"Coproplasma sp910578765",13,26,38,296,145,69
"Parabacteroides faecavium",0,0,0,0,40,0
"MGYG000325474",0,22,14,0,56,0
"MGYG000352721",0,0,0,0,0,0
"Helicobacter_C sp910577135",0,0,0,0,0,0
"Lysinibacillus sp023337795",0,0,0,0,32,0
"Gallimonas sp910588465",127,289,523,3552,16122,846
"Ralstonia pickettii_B",0,0,0,0,0,0
"51-20 sp910577095",0,0,0,0,0,0
"MGYG000327731",0,10,14,0,0,0
"MGYG000325751",24,39,37,15,22,19
"MGYG000325340",30,55,52,16,18,19
"MGYG000325552",0,12,12,14,57,0
"Absicoccus sp000434355",0,0,0,0,0,0
"MGYG000374819",0,0,0,0,0,0
"MGYG000325616",0,17,0,78,19,36
"Eubacterium_F sp003491505",0,0,0,0,0,0
"Eubacterium_F sp900539115",0,0,0,0,0,0
"Eubacterium_F sp910584875",0,0,0,0,0,0
"Butyribacter sp910577825",0,36,10,43,0,42
"MGYG000328455",0,10,0,12,0,0
"MGYG000329982",0,10,0,23,0,18
"MGYG000329041",0,15,0,54,0,0
"MGYG000331355",0,21,0,10,0,10
"VSOB01 sp910585205",0,0,0,21,0,15
"Choladousia sp902363135",0,0,0,0,0,0
"MGYG000325445",0,0,0,26,0,13
"MGYG000324619",0,0,0,15,0,10
"MGYG000325654",0,0,0,12,0,10
"MGYG000330463",0,0,0,0,0,0
"Lacrimispora celerecrescens_B",0,0,0,0,0,0
"CAG-632 sp000431515",0,0,0,0,10,0
"MGYG000322973",0,0,0,0,0,0
"Robinsoniella sp900555455",0,0,0,0,0,0
"Lawsonibacter asaccharolyticus",0,51,21,41,10,76
"Enterenecus sp932222125",0,47,19,37,0,57
"MGYG000330031",24,152,79,53,0,184
"MGYG000327784",22,79,47,52,0,127
"MGYG000329422",32,94,73,44,0,123
"MGYG000336017",24,108,64,60,0,115
"Faecousia sp910589155",0,10,12,23,0,16
"MGYG000410450",0,37,36,41,14,48
"Vescimonas coprocola",0,13,0,19,0,14
"MGYG000390383",0,21,0,22,0,31
"MGYG000322982",0,16,0,15,0,42
"CAG-170 sp900553545",0,0,0,0,0,11
"Oscillibacter sp002455655",0,20,0,42,0,32
"MGYG000325106",0,0,0,39,0,20
"Angelakisella sp022794295",13,46,37,173,18,276
"UBA3818 sp910578255",13,32,21,16,0,37
"MGYG000325720",0,11,0,0,0,12
"MGYG000326653",0,15,0,25,0,24
"Ruminococcus_C sp000433635",0,0,0,0,0,0
"Harryflintia sp022792175",154,455,136,403,32,430
"MGYG000410206",0,0,0,0,0,0
"UMGS1668 sp900553955",0,17,11,12,0,19
"Pseudobutyricicoccus sp910585875",0,27,0,24,0,21
"MGYG000410157",0,0,0,10,0,18
"Fimimonas sp910586625",122,229,534,4281,8645,1216
"MGYG000344714",0,12,0,0,0,0
"MGYG000324647",0,41,27,11,0,15
"MGYG000409944",49,117,121,42,24,35
"MGYG000377617",1214,3451,2794,1272,69,1650
"MGYG000403771",0,16,0,0,0,0
"MGYG000325091",17,15,34,33,16,0
"MGYG000357633",0,181,39,83,0,16
"Treponema_D sp014804085",0,0,0,0,0,0
"Atopostipes sp910588235",0,0,0,0,0,0
"MGYG000325609",13,33,31,23,15,14
"MGYG000324383",24,92,53,37,1595,22
"Parabacteroides gordonii",0,16,0,0,166,0
"Cryptobacteroides sp000434935",0,0,15,0,77,13
"MGBC139354 sp910586295",0,0,0,0,0,0
"MGBC119817 sp910585335",0,0,0,0,0,0
"Coprosoma sp902783895",0,0,0,0,0,0
"MGYG000327915",0,0,0,0,0,0
"Bacillus spizizenii",0,0,0,0,0,0
"Allobacillus halotolerans",0,0,0,0,0,0
"Caccosoma sp905197115",0,0,0,0,0,0
"MGYG000325901",0,31,12,15,13,13
"MGYG000325369",19,31,26,0,23,0
"MGYG000325412",0,10,13,0,120,0
"Alistipes_A sp910583985",21,45,24,93,0,53
"MGYG000325656",40,193,86,212,42,91
"MGYG000325417",0,0,0,19,0,0
"Acetatifactor intestinalis",0,0,0,0,0,0
"MGYG000329006",0,0,0,14,0,11
"Blautia_A faecis",0,0,0,0,0,0
"Hominisplanchenecus faecis",0,0,0,0,0,0
"MGYG000329682",0,0,0,0,0,10
"Fimenecus sp900540295",0,0,0,0,0,12
"Clostridium_AM scatologenes",0,0,0,0,0,0
"MGYG000374388",0,0,0,0,0,22
"MGYG000323085",0,12,0,14,0,15
"Coprocola sp910587195",0,433,0,43,0,0
"MGYG000323975",0,208,55,57,0,24
"MGYG000330936",0,0,0,0,0,0
"Alistipes shahii",13,49,23,29,116,39
"Eisenbergiella sp900066775",0,0,0,0,0,0
"Murimonas intestini",0,0,0,0,0,0
"Mediterraneibacter torques",0,0,0,0,0,0
"Caccousia sp900752115",0,0,0,0,0,0
"MGYG000327130",0,0,0,0,0,0
"Klebsiella pneumoniae",0,0,0,0,165,0
"Citrobacter_A sedlakii",0,0,0,0,219,0
"Proteus faecis",0,0,0,0,512,0
"MGYG000410940",0,0,0,10,22,0
"Ruminococcus sp002362135",0,0,0,0,0,0
"MGYG000325359",13,16,19,0,0,0
"MGYG000325563",10,17,20,0,59,0
"Prevotella sp900313215",0,10,20,11,110,0
"MGYG000325556",0,25,14,0,110,0
"Alloprevotella sp900542795",0,10,0,0,18,0
"Paraprevotella sp910584955",0,10,0,12,33,11
"Paraprevotella clara",0,20,12,0,65,0
"Alistipes sp910580175",644,1995,1688,2679,345,1671
"MGYG000325594",12,25,30,21,0,0
"MGYG000325683",12,13,17,0,0,0
"RUG572 sp900547945",0,0,0,0,0,0
"CAG-170 sp900548625",0,0,0,0,0,0
"Vescimonas sp000435975",0,24,12,15,0,13
"MGYG000325673",0,17,13,0,0,0
"CAG-41 sp910585795",0,46,10,0,0,0
"Massiliimalia timonensis",0,15,10,15,0,29
"Klebsiella quasipneumoniae",0,0,0,0,107,0
"Klebsiella oxytoca",0,0,0,0,74,0
"Proteus mirabilis",0,0,0,0,28,0
"Streptococcus thermophilus",0,0,0,0,0,0
"MGYG000392040",0,10,0,0,0,0
"MGYG000336888",0,29,0,100,0,80
"MGYG000323672",0,0,0,0,0,0
"MGYG000387283",0,0,0,0,0,0
"Eisenbergiella tayi",0,0,0,0,0,14
"Blautia sp000432195",0,0,0,0,0,0
"Lachnospira eligens_A",0,0,0,0,0,0
"Choladousia sp902363665",0,0,0,0,0,0
"MGYG000328544",0,0,0,0,0,0
"JAAWTG01 sp022801925",0,0,0,0,0,0
"MGYG000325459",315,1115,1022,1157,127,889
"MGYG000325725",290,862,692,1149,129,718
"Alistipes sp910586375",265,686,617,951,120,576
"Alistipes sp014796635",198,536,489,905,113,652
"Alistipes sp910584485",69,202,123,201,32,194
"MGYG000325702",54,122,160,253,62,172
"MGYG000329018",21,101,97,134,75,105
"MGYG000325591",20,54,51,78,24,66
"Alistipes sp902363575",17,24,23,33,0,25
"Alistipes sp017442365",12,40,47,48,0,43
"MGYG000340909",21,61,59,54,92,35
"Butyricimonas sp900184685",10,14,26,18,37,11
"CAG-273 sp910589185",12,101,27,61,0,35
"MGYG000327606",11,99,19,57,0,31
"MGYG000375485",32,65,31,57,0,55
"JAAWPK01 sp022799935",11,37,0,0,0,0
"MGYG000388007",74,261,27,84,0,112
"CAKPSH01 sp022795675",18,77,0,25,0,19
"Coproplasma sp910577055",99,262,197,913,98,541
"Coproplasma sp910578565",17,42,54,230,70,71
"Coproplasma sp910583855",11,36,40,207,78,35
"Pumilibacter sp022791915",52,68,15,227,180,180
"MGYG000327260",42,76,78,100,23,58
"Streptococcus danieliae_A",22,68,40,14,0,22
"MGYG000325460",17,31,14,15,0,10
"MGYG000330364",18,180,48,130,65,81
"MGYG000325579",42,356,79,160,15,35
"MGYG000409929",17,12,0,16,0,41
"MGBC122484 sp910577395",28,36,23,453,558,149
"MGYG000326706",0,32,29,67,16,40
"Alistipes sp904502285",0,17,12,21,156,17
"MGYG000325317",0,13,12,0,11,13
"MGYG000323691",0,25,24,42,13,26
"Tidjanibacter inops",0,19,14,60,122,18
"Prevotella sp002265625",0,21,21,0,87,0
"Prevotella sp900552515",0,11,0,0,110,0
"Phocaeicola coprophilus",0,16,0,0,110,0
"Paraprevotella sp003477995",0,10,0,0,61,0
"MGYG000326974",0,34,29,29,0,17
"Cryptobacteroides sp000432515",0,24,0,15,59,11
"Butyricimonas synergistica",0,18,36,13,27,13
"Butyricimonas sp003479425",0,13,12,0,88,0
"Faecousia sp000434635",0,13,10,0,0,14
"MGBC124762 sp910584395",0,20,12,17,0,25
"Vescimonas sp900551995",0,11,0,0,0,0
"Vescimonas sp900545585",0,10,0,15,21,12
"Ruminiclostridium_E sp910579265",0,23,0,12,0,24
"MGYG000323133",0,36,0,11,0,34
"CAG-115 sp910579125",0,30,0,14,0,22
"MGYG000327681",0,22,0,12,0,23
"RGIG8773 sp910586535",0,24,0,90,55,21
"MGYG000325664",0,21,0,55,15,36
"MGYG000325398",0,53,63,21,0,0
"Faecalibacterium sp900540455",0,13,0,0,0,0
"MGYG000323027",0,11,0,0,0,0
"MGYG000326165",0,13,11,12,11,22
"MGYG000325440",0,14,0,26,0,0
"MGYG000350587",0,10,0,0,0,11
"Lachnospira sp910585095",0,14,0,0,0,11
"MGYG000323782",0,17,0,17,0,15
"MGYG000329879",0,15,0,23,0,13
"Coprocola sp910586765",0,12,0,25,0,14
"MGYG000410417",0,27,33,59,0,21
"MGYG000327215",0,38,0,0,0,11
"MGYG000351753",0,79,0,144,0,0
"MGYG000403946",0,41,0,55,0,0
"MGYG000340871",0,37,0,70,0,16
"MGYG000330483",0,27,0,16,0,0
"MGYG000375087",0,24,0,34,0,0
"MGYG000380654",0,20,0,0,42,0
"MGYG000433109",0,19,0,0,0,0
"MGYG000329231",0,17,0,12,0,0
"MGYG000410463",0,14,0,14,0,0
"MGYG000325858",0,14,0,19,0,59
"MGYG000410524",0,11,0,17,0,0
"MGYG000329904",0,10,0,0,0,0
"MGYG000328992",0,10,0,0,0,0
"MGYG000328749",0,10,0,17,0,0
"CAG-273 sp022797215",0,35,0,15,0,0
"MGYG000329641",0,20,0,21,0,0
"MGYG000365455",0,300,102,236,0,31
"MGYG000410067",0,255,29,43,0,0
"CAG-269 sp022791675",0,210,0,167,31,0
"MGYG000328621",0,129,0,60,0,0
"MGYG000329059",0,75,0,0,0,0
"CAG-269 sp022794095",0,53,0,20,0,0
"CAG-269 sp022795075",0,33,0,24,0,50
"MGYG000342663",0,21,0,0,0,0
"CAG-269 sp022794055",0,18,0,12,0,12
"MGYG000365232",0,18,0,47,12,28
"MGYG000328829",0,18,0,12,0,17
"MGYG000332630",0,15,0,0,0,11
"MGYG000330993",0,14,0,0,0,0
"MGYG000329131",0,14,0,0,0,0
"MGYG000329360",0,12,25,13,0,0
"MGYG000329624",0,12,0,15,0,0
"MGYG000326992",0,12,0,0,0,0
"MGYG000411110",0,11,0,0,0,0
"MGYG000323120",0,10,0,0,0,0
"MGYG000329191",0,16,0,0,0,0
"JAAWPK01 sp022792975",0,13,0,10,0,21
"MGYG000328409",0,63,0,0,0,0
"MGYG000331294",0,36,0,0,0,0
"MGYG000329735",0,31,0,0,0,0
"RGIG8482 sp022799315",0,15,0,10,0,0
"MGYG000381662",0,13,0,0,0,0
"MGYG000410934",0,10,0,12,0,0
"MGYG000392056",0,19,0,0,0,0
"MGYG000331304",0,18,0,0,0,0
"MGYG000392748",0,19,0,0,0,0
"UMGS1663 sp022791325",0,15,0,0,0,0
"MGYG000331248",0,13,0,0,0,0
"MGYG000330612",0,32,28,202,36,0
"MGYG000410581",0,131,424,293,105,0
"MGYG000324615",0,11,0,19,11,0
"MGYG000324828",0,11,16,35,21,0
"Anaerocaecibacter muris",0,131,0,2356,1085,20
"MGYG000368690",0,30,18,113,122,55
"Coproplasma sp910577875",0,24,17,137,79,26
"Coproplasma sp910583545",0,16,15,99,50,14
"Coproplasma sp910579585",0,16,12,174,155,15
"MGYG000328739",0,15,0,145,54,47
"Coproplasma sp910587365",0,14,35,220,78,78
"Coproplasma sp910587015",0,12,13,157,106,48
"Coproplasma sp910588685",0,10,0,133,64,28
"Gallimonas sp910586655",0,14,0,60,38,0
"Gallimonas sp910586245",0,11,0,142,59,12
"Limiplasma sp900548145",0,28,0,0,0,13
"MGBC101980 sp910576875",0,22,14,27,214,26
"Caccovivens sp022793335",0,136,0,429,21,0
"MGYG000330827",0,32,0,110,109,32
"Caccovivens sp910584295",0,12,0,32,11,0
"MGYG000322927",0,10,0,0,0,0
"Dwaynesavagella sp000270205",0,102,58,37,0,0
"Caloranaerobacter azorensis",0,22,27,0,0,0
"MGYG000325321",0,84,15,28,0,0
"MGYG000411329",0,32,0,0,0,0
"MGYG000411579",0,18,0,0,0,0
"MGYG000382271",0,13,0,0,0,0
"Holdemanella sp900556915",0,11,0,0,0,0
"MGYG000326094",0,16,0,29,0,17
"MGYG000329498",0,13,0,0,0,0
"MGYG000410618",0,792,0,33,0,0
"MGBC162581 sp910587725",0,21,0,23,0,18
"MGYG000324636",0,20,13,0,0,0
"MGYG000393403",0,19,0,13,0,11
"MGYG000326232",0,16,0,20,0,0
"MGBC108787 sp910587325",0,14,12,20,0,0
"MGYG000332018",0,12,0,12,0,0
"MGYG000382898",0,36,0,35,25,0
"Caccenecus sp910587745",0,31,0,21,0,0
"MGBC162267 sp910588025",0,36,0,0,0,0
"MGYG000339283",0,11,0,0,0,0
"MGYG000411598",0,53,0,199,0,0
"MGYG000326177",0,33,0,26,0,24
"MGYG000411458",0,27,0,138,0,0
"MGYG000352855",0,19,0,39,0,0
"MGYG000333853",0,14,13,0,0,0
"MGYG000326629",0,14,0,0,0,0
"MGYG000388827",0,24,14,0,0,0
"MGYG000328000",0,23,18,0,0,0
"MGYG000388416",0,11,23,0,0,0
"UBA7185 sp002491065",0,13,0,12,0,0
"MGYG000358274",0,12,0,19,0,0
"MGYG000331915",0,13,0,0,0,0
"Stercorousia sp910588555",0,10,0,123,37,0
"Prevotella sp900553595",0,0,13,0,94,0
"Rikenella sp910577125",0,0,20,0,14,0
"Alistipes_A indistinctus",0,0,15,0,0,10
"MGYG000325402",0,0,13,0,0,0
"MGYG000410739",0,0,18,13,0,0
"Coproplasma sp910588645",0,0,18,189,63,54
"MGYG000325461",0,0,18,98,38,25
"MGYG000410947",0,0,11,103,83,22
"MGYG000328716",0,0,13,94,144,25
"Emergencia sp022767345",0,0,10,13,0,11
"MGYG000377252",0,0,10,0,0,0
"MGYG000413576",0,0,10,0,0,0
"Rikenella sp910579375",0,0,0,23,0,12
"MGYG000326979",0,0,0,10,134,0
"Faecousia sp900544975",0,0,0,11,0,11
"Vescimonas sp003539495",0,0,0,11,0,17
"MGYG000323103",0,0,0,10,0,0
"MGYG000325742",0,0,0,20,0,0
"MGYG000323031",0,0,0,15,0,0
"MGYG000327114",0,0,0,43,0,12
"MGYG000325704",0,0,0,14,0,11
"CAG-590 sp910584695",0,0,0,11,0,0
"SIG299 sp910583815",0,0,0,15,0,11
"MGYG000401852",0,0,0,12,0,15
"MGBC114079 sp910579745",0,0,0,10,0,11
"Coproplasma sp910585785",0,0,0,62,26,19
"MGYG000410802",0,0,0,55,28,0
"Coproplasma sp910578145",0,0,0,56,40,0
"MGYG000325961",0,0,0,50,12,14
"Coproplasma sp910587005",0,0,0,39,15,17
"MGYG000323619",0,0,0,36,32,11
"MGYG000325462",0,0,0,30,0,13
"MGYG000325588",0,0,0,29,0,0
"Coproplasma sp910586345",0,0,0,21,0,0
"MGYG000410533",0,0,0,11,0,0
"Gallimonas sp910588695",0,0,0,56,45,19
"Gallimonas sp910585235",0,0,0,47,13,0
"MGYG000324646",0,0,0,40,41,15
"Gallimonas sp910585595",0,0,0,23,0,0
"MGBC157735 sp022793815",0,0,0,31,12,0
"Anaerocaecibacter sp910587455",0,0,0,56,51,0
"Anaerocaecibacter sp910577435",0,0,0,37,11,0
"Anaerocaecibacter sp910588315",0,0,0,29,75,0
"MGYG000410645",0,0,0,22,0,0
"Anaerocaecibacter sp910577945",0,0,0,16,14,0
"MGYG000325722",0,0,0,11,0,0
"MGYG000324927",0,0,0,10,0,0
"MGYG000331340",0,0,0,84,62,26
"MGYG000325536",0,0,0,69,85,0
"RACS-045 sp910584635",0,0,0,63,47,0
"MGYG000326065",0,0,0,29,11,0
"MGYG000325675",0,0,0,28,29,0
"MGYG000325553",0,0,0,24,21,0
"MGYG000325718",0,0,0,16,0,0
"MGYG000325353",0,0,0,12,28,0
"RACS-045 sp910578245",0,0,0,12,0,0
"MGBC100798 sp910577845",0,0,0,26,0,0
"MGBC100798 sp910588545",0,0,0,13,0,0
"CAG-475 sp910584155",0,0,0,32,22,0
"MGYG000376978",0,0,0,35,22,12
"Fimimonas sp910587795",0,0,0,15,0,0
"MGYG000410634",0,0,0,10,0,0
"MGYG000368618",0,0,0,11,0,0
"MGBC116941 sp910585035",0,0,0,14,0,10
"CAG-269 sp900556945",0,0,0,28,0,0
"MGYG000331161",0,0,0,19,0,0
"CAG-41 sp900066215",0,0,0,23,0,10
"MGBC122484 sp910577515",0,0,0,182,32,0
"MGYG000410279",0,0,0,110,31,0
"MGBC122484 sp910587175",0,0,0,105,25,0
"MGYG000329677",0,0,0,95,21,0
"MGBC122484 sp910587375",0,0,0,68,15,0
"MGYG000372439",0,0,0,62,10,0
"MGYG000326479",0,0,0,23,0,0
"MGYG000342110",0,0,0,11,0,0
"Muribacter muris",0,0,0,16,0,0
"MGYG000336045",0,0,0,48,18,0
"Corynebacterium mastitidis",0,0,0,12,0,0
"Phocaeicola sp000434735",0,0,0,0,27,0
"Prevotella sp002299635",0,0,0,0,82,0
"Prevotella sp000434975",0,0,0,0,54,0
"Prevotella sp002251385",0,0,0,0,45,0
"Prevotella sp900552675",0,0,0,0,36,0
"Prevotella sp900543975",0,0,0,0,35,0
"Prevotella sp000436035",0,0,0,0,29,0
"Prevotella copri_B",0,0,0,0,28,0
"Prevotella sp003447235",0,0,0,0,27,0
"Alloprevotella sp900539625",0,0,0,0,61,0
"UBA4372 sp900543815",0,0,0,0,95,0
"UBA6398 sp003150315",0,0,0,0,25,0
"MGYG000325629",0,0,0,0,24,0
"MGYG000325649",0,0,0,0,12,0
"MGYG000325521",0,0,0,0,17,0
"MGBC100798 sp910584035",0,0,0,0,16,0
"CAG-177 sp003514385",0,0,0,0,20,0
"Enterobacter roggenkampii",0,0,0,0,32,0
"Kosakonia cowanii",0,0,0,0,24,0
"Morganella morganii",0,0,0,0,22,0
"Enterococcus_B faecium",0,0,0,0,45,0
"Enterococcus_B hirae",0,0,0,0,20,0
"Enterococcus_A avium",0,0,0,0,26,0
"Streptococcus sp000187445",0,0,0,0,14,0
"Clostridium_AQ innocuum",0,0,0,0,13,0
"Catenibacterium sp000437715",0,0,0,0,16,0
"Mammaliicoccus sciuri",0,0,0,0,114,0
"MGYG000330358",0,0,0,0,51,0
"Kosmotoga_B pacifica",0,0,0,0,13,0
"UBA3818 sp910587335",0,0,0,0,0,12
"MGYG000325420",0,0,0,0,0,12
"Massiliimalia sp910579175",0,0,0,0,0,13
"Phocea massiliensis",0,0,0,0,0,13
"MGYG000329752",0,0,0,0,0,14
"MGYG000325714",0,0,0,0,0,10
"Enterocloster lavalensis",0,0,0,0,0,11
"MGYG000331096",0,0,0,0,0,10
"MGYG000358607",0,0,0,0,0,14
"Coprovivens sp910577505",0,0,0,0,0,14
"Aneurinibacillus aneurinilyticus",0,0,0,0,0,19
"Parolsenella catena",0,0,0,0,0,0
"MGYG000330619",0,0,0,0,0,0
"Mycobacterium aubagnense",0,0,0,0,0,0
"Salinibacter ruber",0,0,0,0,0,0
"Anaerostipes hadrus",0,0,0,0,0,0
"UBA1417 sp003531055",0,0,0,0,0,0
"Flemingibacterium sp900546315",0,0,0,0,0,0
"Firm-10 sp934636425",0,0,0,0,0,0
"Faecivicinus sp900553265",0,0,0,0,0,0
"51-20 sp910587405",0,0,0,0,0,0
"MGYG000362033",0,0,0,0,0,0
"MGYG000325516",0,0,0,0,0,0
"Streptococcus salivarius",0,0,0,0,0,0
"Pseudomonas_E shahriarae",0,0,0,0,0,0
"MGYG000366009",0,0,0,0,0,0
"Parasutterella gallistercoris",0,0,0,0,0,0
